spot_id,customer_name,air_date,day_of_week,time_in,time_out,gross_rate,station_net,spot_type,ae_name,broadcast_month,market_code,market_name,customer_intent,spans_multiple_blocks,blocks_spanned,requires_attention,alert_reason,duration_minutes
397331,3Fold:LRCC,2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Riley Van Patten",Jan-24,CVC,"Central Valley",indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
397341,3Fold:LRCC,2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Riley Van Patten",Jan-24,CVC,"Central Valley",indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398121,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398122,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398123,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398130,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398131,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398132,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398133,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398134,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398137,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398138,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398143,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398145,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398146,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
398147,"C+C Agency:Department of Health",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
399786,"Gleeson Digital Strategies:ScholarShare Investment Board",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Riley Van Patten",Jan-24,CVC,"Central Valley",indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
400196,"Gleeson Digital Strategies:ScholarShare Investment Board",2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Riley Van Patten",Jan-24,LAX,"LOS ANGELES",indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
400732,Imprenta:PG&E,2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,CVC,"Central Valley",indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
400733,Imprenta:PG&E,2024-01-01,monday,6:00:00,23:59:00,,,BNS,"Charmaine Lane",Jan-24,CVC,"Central Valley",indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",1,"Indifferent intent - left unassigned for non-language categorization",2519
400860,"IW Group:CMS",2024-01-01,monday,6:00:00,22:00:00,,,BNS,"Charmaine Lane",Jan-24,CHI,CHICAGO,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228]",1,"Indifferent intent - left unassigned for non-language categorization",2400
401444,"MJA Advertising:Muckleshoot Casino",2024-01-01,monday,6:00:00,23:00:00,,,BNS,"Riley Van Patten",Jan-24,SEA,SEATTLE,indifferent,1,"[220, 221, 222, 223, 224, 225, 226, 227, 228]",1,"Indifferent intent - left unassigned for non-language categorization",2460
